PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-09-23,15:50:50.49,1,1,"Hoskins, Matthew",1000088474,Right,GEO_BUL,"Anderson, Ben",1000025449,Left,GEO_PRA,Undefined,1,Top,0,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,93.90616,-1.722675,-2.025526,2336.852743,,,6.39226,1.05377,5.06788,,,,3.86089,-0.19401,85.83906,-3.811932,-0.62106,0.411146,,,,,,,,,,,,-4.48067,11.56083,-0.86794,50,6.22061,4.42328,-136.16308,-4.41846,-8.44151,28.91732,-10.39362,GEO_BUL,GEO_PRA,UGeorgia,TeamExclusive,Team,20220923-UGeorgia-Private-1,085f5360-3b79-11ed-8e05-8da7bbbf7e98,91.67655,,,8.06709,,,,,,,e351aef0-7c4c-47b9-8e78-b3e78b3ec45d,2022-09-23,19:50:50.49,2022-09-23T15:50:50.4940000-04:00,2022-09-23T19:50:50.4940000Z,,v3,226,,,"Collins, Corey",690970,Right,GEO_BUL,75ced28d-d1c2-42ab-a314-4d6441177f67,55.43102,-137.31163,14.45866,6.3879,-4.00564,-5.19681,-1.05029,4.75856,-4.22075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
2,2022-09-23,15:51:03.48,1,2,"Hoskins, Matthew",1000088474,Right,GEO_BUL,"Anderson, Ben",1000025449,Left,GEO_PRA,Undefined,1,Top,0,1,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,92.88699,-3.437347,-1.274866,2262.82852,,,6.4416,1.041,5.47994,,,,2.66665,0.73156,84.72705,-4.795045,0.612385,0.413366,,,,,,,,,,,,-5.67764,14.52501,-0.93646,50,6.13538,2.49986,-134.60992,-8.17483,-10.41942,29.16783,-5.51827,GEO_BUL,GEO_PRA,UGeorgia,TeamExclusive,Team,20220923-UGeorgia-Private-1,101c5fd0-3b79-11ed-8e05-8da7bbbf7e98,91.18411,,,8.15994,,,,,,,e351aef0-7c4c-47b9-8e78-b3e78b3ec45d,2022-09-23,19:51:03.48,2022-09-23T15:51:03.4870000-04:00,2022-09-23T19:51:03.4870000Z,,v3,226,,,"Collins, Corey",690970,Right,GEO_BUL,a788ec27-2e0a-40dc-bb98-f04ced6f1928,55.01914,-135.69313,14.58392,6.43517,-7.9699,-2.75914,-1.03649,2.88681,-5.20971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
3,2022-09-23,15:51:17.30,1,3,"Hoskins, Matthew",1000088474,Right,GEO_BUL,"Anderson, Ben",1000025449,Left,GEO_PRA,Undefined,1,Top,0,2,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,92.40422,-1.760255,-3.163286,2306.51494,,,6.34252,0.98318,5.37443,,,,3.70672,-1.60056,84.64336,-4.022278,-2.344428,0.415441,,,,,,,,,,,,-3.14205,11.56512,-0.70282,50,6.17649,7.18521,-133.93828,-4.45664,-5.73767,27.50748,-11.05507,GEO_BUL,GEO_PRA,UGeorgia,TeamExclusive,Team,20220923-UGeorgia-Private-1,18579cf0-3b79-11ed-8e05-8da7bbbf7e98,90.72878,,,7.76086,,,,,,,e351aef0-7c4c-47b9-8e78-b3e78b3ec45d,2022-09-23,19:51:17.30,2022-09-23T15:51:17.3010000-04:00,2022-09-23T19:51:17.3010000Z,,v3,226,,,"Collins, Corey",690970,Right,GEO_BUL,94dc67c9-a6c5-4a0c-b337-32431eea21a4,55.12426,-134.98657,13.75374,6.3383,-4.03534,-5.52753,-0.98081,7.40387,-2.86884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
4,2022-09-23,15:51:35.28,1,4,"Hoskins, Matthew",1000088474,Right,GEO_BUL,"Anderson, Ben",1000025449,Left,GEO_PRA,Undefined,1,Top,0,3,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.71067,-3.622672,-3.32835,2237.822099,,,6.43991,0.91794,5.33798,,,,2.03474,-0.98792,83.98824,-5.912665,-0.733239,0.419653,,,,,,,,,,,,-8.23044,12.34784,-0.62824,50,6.10396,7.04158,-132.7303,-8.76145,-14.74427,27.29242,-10.0538,GEO_BUL,GEO_PRA,UGeorgia,TeamExclusive,Team,20220923-UGeorgia-Private-1,23100f10-3b79-11ed-8e05-8da7bbbf7e98,89.81818,,,7.72243,,,,,,,e351aef0-7c4c-47b9-8e78-b3e78b3ec45d,2022-09-23,19:51:35.28,2022-09-23T15:51:35.2820000-04:00,2022-09-23T19:51:35.2820000Z,,v3,226,,,"Collins, Corey",690970,Right,GEO_BUL,875e87dd-3324-4054-aa22-868eba5ba8ed,55.16234,-133.78759,13.64621,6.43583,-8.37198,-5.0269,-0.91209,7.61276,-7.37213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
5,2022-09-23,15:51:49.31,1,5,"Hoskins, Matthew",1000088474,Right,GEO_BUL,"Anderson, Ben",1000025449,Left,GEO_PRA,Undefined,1,Top,0,3,1,Fastball,,BallCalled,Walk,Undefined,Undefined,0,0,,92.19201,-0.82876,-2.528512,2284.767589,,,6.17443,1.08469,5.30101,,,,3.79145,-0.40361,85.34861,-4.390633,-0.641054,0.414449,,,,,,,,,,,,-5.93111,7.45288,-0.86282,50,6.08514,5.42134,-133.91702,-2.64137,-10.94081,24.64151,-18.42613,GEO_BUL,GEO_PRA,UGeorgia,TeamExclusive,Team,20220923-UGeorgia-Private-1,2b6e3d80-3b79-11ed-8e05-8da7bbbf7e98,90.94586,,,6.8434,,,,,,,e351aef0-7c4c-47b9-8e78-b3e78b3ec45d,2022-09-23,19:51:49.31,2022-09-23T15:51:49.3130000-04:00,2022-09-23T19:51:49.3130000Z,,v3,226,,,"Collins, Corey",690970,Right,GEO_BUL,987a3068-3874-4739-9bb9-2cc6f427e7cd,55.20018,-134.87049,12.32075,6.17355,-1.9284,-9.21306,-1.08078,5.84468,-5.47041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
6,2022-09-23,15:52:17.50,2,1,"Hoskins, Matthew",1000088474,Right,GEO_BUL,"Harber, Parks",1000069415,Right,GEO_PRA,Undefined,1,Top,0,0,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.65376,-3.970099,-2.229812,2107.558696,,,6.85136,1.10845,5.0104,,,,2.62761,0.19417,81.20757,-5.167677,0.290634,0.433888,,,,,,,,,,,,-7.68575,16.69619,-0.90642,50,6.46612,4.35807,-129.59597,-9.01958,-12.9971,28.51368,-3.93973,GEO_BUL,GEO_PRA,UGeorgia,TeamExclusive,Team,20220923-UGeorgia-Private-1,3c3ac700-3b79-11ed-8e05-8da7bbbf7e98,86.87135,,,8.44619,,,,,,,e351aef0-7c4c-47b9-8e78-b3e78b3ec45d,2022-09-23,19:52:17.50,2022-09-23T15:52:17.5000000-04:00,2022-09-23T19:52:17.5000000Z,,v3,226,,,"Collins, Corey",690970,Right,GEO_BUL,954442e1-1af7-4791-9501-859fcd7c0a12,55.48759,-130.79778,14.25684,6.84278,-8.85352,-1.96987,-1.10165,4.90588,-6.49855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
7,2022-09-23,15:52:34.74,2,2,"Hoskins, Matthew",1000088474,Right,GEO_BUL,"Harber, Parks",1000069415,Right,GEO_PRA,Undefined,1,Top,0,0,1,ChangeUp,,InPlay,Undefined,GroundBall,Out,1,0,,81.90335,-2.116886,-1.997803,2275.003006,,,6.36542,1.31614,4.62789,,,,1.12504,-0.34097,74.96226,-9.080398,-1.486478,0.477508,56.48046,-19.107636,-49.471456,,,,,5.94487,2.83032,-26.334261,0.049278,-2.03693,3.59114,-1.11393,50,6.11252,4.00953,-118.57239,-5.85842,-2.88095,24.05677,-27.09491,GEO_BUL,GEO_PRA,UGeorgia,TeamExclusive,Team,20220923-UGeorgia-Private-1,468ab350-3b79-11ed-8e05-8da7bbbf7e98,78.9357,1.34018,,6.94109,,,,2.81403,1.34018,0.30323,e351aef0-7c4c-47b9-8e78-b3e78b3ec45d,2022-09-23,19:52:34.74,2022-09-23T15:52:34.7460000-04:00,2022-09-23T19:52:34.7460000Z,GroundBall,v3,226,,,"Collins, Corey",690970,Right,GEO_BUL,ec6b0ff0-47ab-4fe5-8347-8a9ffd98ba6a,55.87267,-119.75795,12.02839,6.36833,-4.52313,-13.54745,-1.31503,4.15151,-1.44048,,2.81283,51.01479,,,,,,,,1.34082,-27.19658,,,,,,,,0.30463,-59.67042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,Estimated,Estimated,,,
8,2022-09-23,15:53:09.05,3,1,"Hoskins, Matthew",1000088474,Right,GEO_BUL,"Wagner, Cole",1000107204,Left,GEO_PRA,Undefined,1,Top,1,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,89.43563,-5.304186,-2.248237,2144.453706,,,6.43606,1.02307,5.18219,,,,0.24493,-0.29914,81.99071,-7.971067,-0.561531,0.432636,,,,,,,,,,,,-5.39095,12.77438,-0.82168,50,5.93116,4.64079,-129.19674,-12.4462,-9.13101,26.38793,-10.53725,GEO_BUL,GEO_PRA,UGeorgia,TeamExclusive,Team,20220923-UGeorgia-Private-1,5af9b7f0-3b79-11ed-8e05-8da7bbbf7e98,87.12265,,,7.44492,,,,,,,e351aef0-7c4c-47b9-8e78-b3e78b3ec45d,2022-09-23,19:53:09.05,2022-09-23T15:53:09.0560000-04:00,2022-09-23T19:53:09.0560000Z,,v3,226,,,"Collins, Corey",690970,Right,GEO_BUL,1784b564-15d7-44a1-998e-16ded0d804a9,55.318,-130.27839,13.19397,6.43249,-12.01428,-5.26863,-1.01958,5.01507,-4.5655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
9,2022-09-23,15:53:27.99,3,2,"Hoskins, Matthew",1000088474,Right,GEO_BUL,"Wagner, Cole",1000107204,Left,GEO_PRA,Undefined,1,Top,1,1,0,Fastball,,FoulBall,Undefined,Undefined,Undefined,0,0,,90.43658,-4.69824,-2.652098,2215.961807,,,6.53193,1.32094,5.33432,,,,1.70539,-0.03252,81.80058,-5.765281,-0.234748,0.428348,91.31083,53.855504,-30.229369,4217.040102,,,,,245.50331,,,-7.65626,17.13855,-1.09165,50,6.10389,5.42705,-130.63545,-10.74314,-13.12261,29.61695,-2.79911,GEO_BUL,GEO_PRA,UGeorgia,TeamExclusive,Team,20220923-UGeorgia-Private-1,66403940-3b79-11ed-8e05-8da7bbbf7e98,87.9948,107.30536,,8.636,,,,2.13849,1.73678,0.15421,e351aef0-7c4c-47b9-8e78-b3e78b3ec45d,2022-09-23,19:53:27.99,2022-09-23T15:53:27.9970000-04:00,2022-09-23T19:53:27.9970000Z,,v3,226,,,"Collins, Corey",690970,Right,GEO_BUL,683696c0-3f81-431d-a789-935719c1a2aa,55.16532,-131.8013,14.80847,6.52462,-10.63295,-1.39955,-1.31545,5.94361,-6.5613,,2.13849,68.24916,-19.04924,4.87011,-1.20437,0.30962,-0.07379,0.01337,-0.00127,1.73678,108.14656,-32.1066,5.42814,-1.38789,0.35352,-0.0849,0.01544,-0.00146,0.15421,-39.76882,-0.90105,0.20703,-0.04889,0.01267,-0.00308,0.00056,-6E-05,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,High,Low,,,
10,2022-09-23,15:54:07.33,3,3,"Hoskins, Matthew",1000088474,Right,GEO_BUL,"Wagner, Cole",1000107204,Left,GEO_PRA,Undefined,1,Top,1,1,1,ChangeUp,,BallCalled,Undefined,Undefined,Undefined,0,0,,82.92299,-4.282089,-2.992172,1980.9135,,,6.59673,1.33618,4.85538,,,,1.24478,0.28739,75.65522,-7.204532,0.775985,0.469877,,,,,,,,,,,,-11.40863,15.03902,-1.06014,50,6.16102,5.31423,-119.80313,-9.4265,-16.5588,23.43353,-10.34599,GEO_BUL,GEO_PRA,UGeorgia,TeamExclusive,Team,20220923-UGeorgia-Private-1,7de318b0-3b79-11ed-8e05-8da7bbbf7e98,80.2177,,,7.26776,,,,,,,e351aef0-7c4c-47b9-8e78-b3e78b3ec45d,2022-09-23,19:54:07.33,2022-09-23T15:54:07.3330000-04:00,2022-09-23T19:54:07.3330000Z,,v3,226,,,"Collins, Corey",690970,Right,GEO_BUL,7d309e37-17bb-4d84-8150-65b3b6c741fe,55.6446,-120.90217,11.71677,6.59175,-8.94126,-5.173,-1.32759,6.09084,-8.2794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
