Pitcher,Photo_Urls
"Smith, CJ",https://ddc2kvg5ezaga.cloudfront.net/images/2020/10/2/Smith_C_J_.JPG?width=300
"Glover, Justin",https://ddc2kvg5ezaga.cloudfront.net/images/2018/8/17/180813_kmb_baseball_0008.jpg?width=300
"Webb, Ryan",https://ddc2kvg5ezaga.cloudfront.net/images/2020/10/2/Webb_Ryan.JPG?width=300
"Tucker, Bradley",https://ddc2kvg5ezaga.cloudfront.net/images/2018/8/17/180813_kmb_baseball_0010.jpg?width=300
"Brown, Garrett",https://ddc2kvg5ezaga.cloudfront.net/images/2020/10/2/Brown_Garrett.JPG?width=300
"Cannon, Jonathan",https://ddc2kvg5ezaga.cloudfront.net/images/2020/10/2/Cannon_Jonathan.JPG?width=300
"Childers, Will",https://ddc2kvg5ezaga.cloudfront.net/images/2021/8/31/WillChilders22_c.jpg?width=300
"Glover, Justin",https://ddc2kvg5ezaga.cloudfront.net/images/2018/8/17/180813_kmb_baseball_0008.jpg?width=300
"Gowen, Jack",https://ddc2kvg5ezaga.cloudfront.net/images/2020/10/2/Gowen_Jack.JPG?width=300
"Hancock, Emerson",https://ddc2kvg5ezaga.cloudfront.net/images/2018/8/17/180813_kmb_baseball_0018.jpg?width=300
"Moody, Logan",https://ddc2kvg5ezaga.cloudfront.net/images/2020/10/2/Moody_Logan.JPG?width=300
"Pasqua, Darryn",https://ddc2kvg5ezaga.cloudfront.net/images/2020/10/2/Pasqua_Darryn.JPG?width=300
"Polk, Michael",https://ddc2kvg5ezaga.cloudfront.net/images/2020/10/2/Polk_Kevin.JPG?width=300
"Smith, Brandon",https://ddc2kvg5ezaga.cloudfront.net/images/2020/10/2/Smith_Brandon.JPG?width=300
"Tatum, Cain",https://ddc2kvg5ezaga.cloudfront.net/images/2019/9/17/Cain_Tatum20.jpg?width=300
"Wilcox, Cole",https://ddc2kvg5ezaga.cloudfront.net/images/2018/8/17/180813_kmb_baseball_0058.jpg?width=300
"Wagner, Cole",https://ddc2kvg5ezaga.cloudfront.net/images/2021/8/31/ColeWagner_c.jpg?width=300
"Sullivan, Liam",https://dbukjj6eu5tsf.cloudfront.net/sidearm.sites/georgiadogs.com/images/2021/10/10/211010_mlm_bb_wcu_0200.jpg
"Woods, Jaden",https://ddc2kvg5ezaga.cloudfront.net/images/2020/10/2/Woods_Jaden.JPG?width=300
"Goldstein, Charlie",https://ddc2kvg5ezaga.cloudfront.net/images/2020/10/2/Goldstein_Charlie.JPG?width=300
"Holloman, Patrick",https://ddc2kvg5ezaga.cloudfront.net/images/2020/10/2/Holloman_Patrick.JPG?width=300
"Caldwell, Collin",https://ddc2kvg5ezaga.cloudfront.net/images/2020/10/2/Caldwell_Colin.JPG?width=300
"Rokose, Davis",https://ddc2kvg5ezaga.cloudfront.net/images/2021/8/31/DavisRokose22_cjpg.jpg?width=300
"Wagner, Luke",https://ddc2kvg5ezaga.cloudfront.net/images/2020/10/2/Wagner_Luke.JPG?width=300
"Pearson, Will",https://ddc2kvg5ezaga.cloudfront.net/images/2020/10/2/Pearson_Will.JPG?width=300
"Crisp, Nolan",https://ddc2kvg5ezaga.cloudfront.net/images/2020/10/2/Crisp_Nolan.JPG?width=300
"Melear, Bryce",https://ddc2kvg5ezaga.cloudfront.net/images/2020/10/2/Melear_Bryce.JPG?width=300
"Willis, Coleman",https://ddc2kvg5ezaga.cloudfront.net/images/2021/8/31/ColemanWillis_c.jpg?width=300
"Bearden, Hank",https://ddc2kvg5ezaga.cloudfront.net/images/2020/10/2/Bearden_Hank.JPG?width=300
"Poindexter, Jake",https://ddc2kvg5ezaga.cloudfront.net/images/2021/8/31/JackPoindexter_c.jpg?width=300
"Marsh, Chandler",https://ddc2kvg5ezaga.cloudfront.net/images/2021/9/10/ChandlerMarsh22_c.jpg?width=300
"Green III, Glenn",https://ddc2kvg5ezaga.cloudfront.net/images/2021/8/31/GlennGreen_c.jpg?width=300
"DeJong, Max",https://ddc2kvg5ezaga.cloudfront.net/images/2020/10/2/DeJong_Max.JPG?width=300
"Ross, Dylan",https://ddc2kvg5ezaga.cloudfront.net/images/2021/8/31/DylanRoss22_c.jpg?width=300
"Radtke, DJ",https://ddc2kvg5ezaga.cloudfront.net/images/2021/8/31/DJRadtke_c.jpg?width=300
