GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
5e7e9815-ebdf-455a-88c2-d37dc6c30554,1,62388830-b207-11ec-92a8-3db29ca5127f,15432d43-e94f-41af-b074-b0999ce6c2c0,2022-04-01,18:02:10.52,2022-04-01,22:02:10.52,2022-04-01T18:02:10.5210000-04:00,2022-04-01T22:02:10.5210000Z,GEO_BUL,FLA_GAT,StrikeSwinging,Undefined,NoShift,69.42803,59.80036,160.49845,3.1793,81.63569,-60.30278,,,257.14076,-126.40296,311.67229,1.6143,267.45847,133.56952
5e7e9815-ebdf-455a-88c2-d37dc6c30554,2,7985cd90-b207-11ec-92a8-3db29ca5127f,82d09471-c5cf-4f10-8f81-268ec3ca1c79,2022-04-01,18:02:49.54,2022-04-01,22:02:49.54,2022-04-01T18:02:49.5446022-04:00,2022-04-01T22:02:49.5446022Z,GEO_BUL,FLA_GAT,InPlay,Out,NoShift,93.36389,71.34404,143.58141,50.38521,82.98835,-43.51802,146.2509,-21.21475,256.086,-125.42325,307.12164,-0.55878,257.4925,129.80481
5e7e9815-ebdf-455a-88c2-d37dc6c30554,3,90d97b90-b207-11ec-92a8-3db29ca5127f,2daddaaf-213e-4c4c-a357-8cbdf834bc7a,2022-04-01,18:03:28.64,2022-04-01,22:03:28.64,2022-04-01T18:03:28.6417414-04:00,2022-04-01T22:03:28.6417414Z,GEO_BUL,FLA_GAT,BallCalled,Undefined,LeftInfieldShift,95.97974,59.55878,152.89182,-19.11534,80.69222,-67.49612,125.36802,-55.35882,259.27561,-131.00393,309.98919,-17.75134,277.36228,114.69436
5e7e9815-ebdf-455a-88c2-d37dc6c30554,4,98662930-b207-11ec-92a8-3db29ca5127f,b3abe180-b1a9-4621-9ddd-c47a77c3ccc1,2022-04-01,18:03:41.29,2022-04-01,22:03:41.29,2022-04-01T18:03:41.2937734-04:00,2022-04-01T22:03:41.2937734Z,GEO_BUL,FLA_GAT,StrikeCalled,Undefined,LeftInfieldShift,97.91929,60.72537,157.5388,-17.6569,82.56502,-68.84494,125.18082,-53.78436,261.55031,-131.48506,309.69352,-19.23623,276.08497,115.1924
5e7e9815-ebdf-455a-88c2-d37dc6c30554,5,a09bc100-b207-11ec-92a8-3db29ca5127f,d005b5e6-aa22-4384-815f-81473d9b17ae,2022-04-01,18:03:55.01,2022-04-01,22:03:55.01,2022-04-01T18:03:55.0108678-04:00,2022-04-01T22:03:55.0108678Z,GEO_BUL,FLA_GAT,BallCalled,Undefined,LeftInfieldShift,98.63773,61.99825,152.38311,-18.76937,83.45385,-69.60275,124.31538,-53.97668,259.84742,-131.27353,311.74594,-18.39521,276.34808,114.78872
5e7e9815-ebdf-455a-88c2-d37dc6c30554,6,a8440cf0-b207-11ec-92a8-3db29ca5127f,b1d453e8-ec17-4f54-9817-af29cb69f0de,2022-04-01,18:04:07.90,2022-04-01,22:04:07.90,2022-04-01T18:04:07.9083526-04:00,2022-04-01T22:04:07.9083526Z,GEO_BUL,FLA_GAT,StrikeSwinging,Undefined,LeftInfieldShift,99.60743,63.29403,156.08651,-19.63644,83.35604,-69.89786,125.12274,-54.27337,260.29728,-131.63354,314.46223,-18.78949,275.49709,114.36146
5e7e9815-ebdf-455a-88c2-d37dc6c30554,7,b2157a70-b207-11ec-92a8-3db29ca5127f,f727fe6f-3e55-485c-b03b-0589a3a48e89,2022-04-01,18:04:24.35,2022-04-01,22:04:24.35,2022-04-01T18:04:24.3526150-04:00,2022-04-01T22:04:24.3526150Z,GEO_BUL,FLA_GAT,BallCalled,Undefined,LeftInfieldShift,96.16981,61.86273,152.20175,-18.88762,85.9602,-72.16063,125.20156,-55.37626,260.43364,-132.02373,314.91593,-18.65614,276.11006,114.54673
5e7e9815-ebdf-455a-88c2-d37dc6c30554,8,bb0f9ac0-b207-11ec-92a8-3db29ca5127f,7b2de9c0-31b6-4608-9464-232491b70e69,2022-04-01,18:04:39.38,2022-04-01,22:04:39.38,2022-04-01T18:04:39.3872902-04:00,2022-04-01T22:04:39.3872902Z,GEO_BUL,FLA_GAT,FoulBall,Undefined,LeftInfieldShift,96.46034,61.27315,148.56645,-22.0705,84.98055,-71.10351,124.97255,-54.38233,259.41601,-131.81935,313.95149,-18.58436,276.16234,114.41378
5e7e9815-ebdf-455a-88c2-d37dc6c30554,9,c4d6a800-b207-11ec-92a8-3db29ca5127f,3f443f03-584d-4b2d-b34f-1428a4e1500b,2022-04-01,18:04:55.80,2022-04-01,22:04:55.80,2022-04-01T18:04:55.8004230-04:00,2022-04-01T22:04:55.8004230Z,GEO_BUL,FLA_GAT,FoulBall,Undefined,LeftInfieldShift,98.34284,61.77677,149.99737,-24.73991,86.65283,-73.13118,124.90517,-54.29092,258.67328,-131.82183,311.35298,-18.28698,277.70844,114.13432
5e7e9815-ebdf-455a-88c2-d37dc6c30554,10,cfc6a4e0-b207-11ec-92a8-3db29ca5127f,7d961a9d-f365-48f4-9a75-96555ccba778,2022-04-01,18:05:14.21,2022-04-01,22:05:14.21,2022-04-01T18:05:14.2151174-04:00,2022-04-01T22:05:14.2151174Z,GEO_BUL,FLA_GAT,InPlay,Out,LeftInfieldShift,97.17577,61.91148,149.51752,-27.69152,85.01122,-72.78418,124.25257,-53.8463,258.80332,-131.8503,311.79341,-18.39339,276.50392,114.59381
